x	p	rho	u	energy	rho_total
0.0	1.0	1.0	0.0	2.5000000000000004	1.0
0.002004008016032064	1.0	1.0	0.0	2.5000000000000004	1.0
0.004008016032064128	1.0	1.0	0.0	2.5000000000000004	1.0
0.0060120240480961915	1.0	1.0	0.0	2.5000000000000004	1.0
0.008016032064128256	1.0	1.0	0.0	2.5000000000000004	1.0
0.01002004008016032	1.0	1.0	0.0	2.5000000000000004	1.0
0.012024048096192383	1.0	1.0	0.0	2.5000000000000004	1.0
0.014028056112224447	1.0	1.0	0.0	2.5000000000000004	1.0
0.01603206412825651	1.0	1.0	0.0	2.5000000000000004	1.0
0.018036072144288574	1.0	1.0	0.0	2.5000000000000004	1.0
0.02004008016032064	1.0	1.0	0.0	2.5000000000000004	1.0
0.022044088176352703	1.0	1.0	0.0	2.5000000000000004	1.0
0.024048096192384766	1.0	1.0	0.0	2.5000000000000004	1.0
0.026052104208416832	1.0	1.0	0.0	2.5000000000000004	1.0
0.028056112224448895	1.0	1.0	0.0	2.5000000000000004	1.0
0.03006012024048096	1.0	1.0	0.0	2.5000000000000004	1.0
0.03206412825651302	1.0	1.0	0.0	2.5000000000000004	1.0
0.03406813627254509	1.0	1.0	0.0	2.5000000000000004	1.0
0.03607214428857715	1.0	1.0	0.0	2.5000000000000004	1.0
0.038076152304609215	1.0	1.0	0.0	2.5000000000000004	1.0
0.04008016032064128	1.0	1.0	0.0	2.5000000000000004	1.0
0.04208416833667334	1.0	1.0	0.0	2.5000000000000004	1.0
0.044088176352705406	1.0	1.0	0.0	2.5000000000000004	1.0
0.04609218436873747	1.0	1.0	0.0	2.5000000000000004	1.0
0.04809619238476953	1.0	1.0	0.0	2.5000000000000004	1.0
0.0501002004008016	1.0	1.0	0.0	2.5000000000000004	1.0
0.052104208416833664	1.0	1.0	0.0	2.5000000000000004	1.0
0.05410821643286573	1.0	1.0	0.0	2.5000000000000004	1.0
0.05611222444889779	1.0	1.0	0.0	2.5000000000000004	1.0
0.058116232464929855	1.0	1.0	0.0	2.5000000000000004	1.0
0.06012024048096192	1.0	1.0	0.0	2.5000000000000004	1.0
0.06212424849699398	1.0	1.0	0.0	2.5000000000000004	1.0
0.06412825651302605	1.0	1.0	0.0	2.5000000000000004	1.0
0.06613226452905811	1.0	1.0	0.0	2.5000000000000004	1.0
0.06813627254509018	1.0	1.0	0.0	2.5000000000000004	1.0
0.07014028056112225	1.0	1.0	0.0	2.5000000000000004	1.0
0.0721442885771543	1.0	1.0	0.0	2.5000000000000004	1.0
