	x	p	rho	u	energy	rho_total
0	0.0	1.0	1.0	0.0	2.5000000000000004	1.0
1	0.002004008016032064	1.0	1.0	0.0	2.5000000000000004	1.0
2	0.004008016032064128	1.0	1.0	0.0	2.5000000000000004	1.0
3	0.0060120240480961915	1.0	1.0	0.0	2.5000000000000004	1.0
4	0.008016032064128256	1.0	1.0	0.0	2.5000000000000004	1.0
5	0.01002004008016032	1.0	1.0	0.0	2.5000000000000004	1.0
6	0.012024048096192383	1.0	1.0	0.0	2.5000000000000004	1.0
7	0.014028056112224447	1.0	1.0	0.0	2.5000000000000004	1.0
8	0.01603206412825651	1.0	1.0	0.0	2.5000000000000004	1.0
9	0.018036072144288574	1.0	1.0	0.0	2.5000000000000004	1.0
10	0.02004008016032064	1.0	1.0	0.0	2.5000000000000004	1.0
11	0.022044088176352703	1.0	1.0	0.0	2.5000000000000004	1.0
12	0.024048096192384766	1.0	1.0	0.0	2.5000000000000004	1.0
13	0.026052104208416832	1.0	1.0	0.0	2.5000000000000004	1.0
14	0.028056112224448895	1.0	1.0	0.0	2.5000000000000004	1.0
15	0.03006012024048096	1.0	1.0	0.0	2.5000000000000004	1.0
16	0.03206412825651302	1.0	1.0	0.0	2.5000000000000004	1.0
17	0.03406813627254509	1.0	1.0	0.0	2.5000000000000004	1.0
18	0.03607214428857715	1.0	1.0	0.0	2.5000000000000004	1.0
19	0.038076152304609215	1.0	1.0	0.0	2.5000000000000004	1.0
20	0.04008016032064128	1.0	1.0	0.0	2.5000000000000004	1.0
21	0.04208416833667334	1.0	1.0	0.0	2.5000000000000004	1.0
22	0.044088176352705406	1.0	1.0	0.0	2.5000000000000004	1.0
23	0.04609218436873747	1.0	1.0	0.0	2.5000000000000004	1.0
24	0.04809619238476953	1.0	1.0	0.0	2.5000000000000004	1.0
25	0.0501002004008016	1.0	1.0	0.0	2.5000000000000004	1.0
26	0.052104208416833664	1.0	1.0	0.0	2.5000000000000004	1.0
27	0.05410821643286573	1.0	1.0	0.0	2.5000000000000004	1.0
28	0.05611222444889779	1.0	1.0	0.0	2.5000000000000004	1.0
29	0.058116232464929855	1.0	1.0	0.0	2.5000000000000004	1.0
30	0.06012024048096192	1.0	1.0	0.0	2.5000000000000004	1.0
31	0.06212424849699398	1.0	1.0	0.0	2.5000000000000004	1.0
32	0.06412825651302605	1.0	1.0	0.0	2.5000000000000004	1.0
33	0.06613226452905811	1.0	1.0	0.0	2.5000000000000004	1.0
34	0.06813627254509018	1.0	1.0	0.0	2.5000000000000004	1.0
35	0.07014028056112225	1.0	1.0	0.0	2.5000000000000004	1.0
36	0.0721442885771543	1.0	1.0	0.0	2.5000000000000004	1.0
37	0.07414829659318636	1.0	1.0	0.0	2.5000000000000004	1.0
38	0.07615230460921843	1.0	1.0	0.0	2.5000000000000004	1.0
39	0.0781563126252505	1.0	1.0	0.0	2.5000000000000004	1.0
40	0.08016032064128256	1.0	1.0	0.0	2.5000000000000004	1.0
41	0.08216432865731463	1.0	1.0	0.0	2.5000000000000004	1.0
42	0.08416833667334668	1.0	1.0	0.0	2.5000000000000004	1.0
43	0.08617234468937875	1.0	1.0	0.0	2.5000000000000004	1.0
44	0.08817635270541081	1.0	1.0	0.0	2.5000000000000004	1.0
45	0.09018036072144288	1.0	1.0	0.0	2.5000000000000004	1.0
46	0.09218436873747494	1.0	1.0	0.0	2.5000000000000004	1.0
47	0.09418837675350701	1.0	1.0	0.0	2.5000000000000004	1.0
48	0.09619238476953906	1.0	1.0	0.0	2.5000000000000004	1.0
49	0.09819639278557113	1.0	1.0	0.0	2.5000000000000004	1.0
50	0.1002004008016032	1.0	1.0	0.0	2.5000000000000004	1.0
51	0.10220440881763526	1.0	1.0	0.0	2.5000000000000004	1.0
52	0.10420841683366733	1.0	1.0	0.0	2.5000000000000004	1.0
53	0.1062124248496994	1.0	1.0	0.0	2.5000000000000004	1.0
54	0.10821643286573146	1.0	1.0	0.0	2.5000000000000004	1.0
55	0.11022044088176351	1.0	1.0	0.0	2.5000000000000004	1.0
56	0.11222444889779558	1.0	1.0	0.0	2.5000000000000004	1.0
57	0.11422845691382764	1.0	1.0	0.0	2.5000000000000004	1.0
58	0.11623246492985971	1.0	1.0	0.0	2.5000000000000004	1.0
59	0.11823647294589178	1.0	1.0	0.0	2.5000000000000004	1.0
60	0.12024048096192384	1.0	1.0	0.0	2.5000000000000004	1.0
61	0.1222444889779559	1.0	1.0	0.0	2.5000000000000004	1.0
62	0.12424849699398796	1.0	1.0	0.0	2.5000000000000004	1.0
63	0.12625250501002003	1.0	1.0	0.0	2.5000000000000004	1.0
64	0.1282565130260521	1.0	1.0	0.0	2.5000000000000004	1.0
65	0.13026052104208416	1.0	1.0	0.0	2.5000000000000004	1.0
66	0.13226452905811623	1.0	1.0	0.0	2.5000000000000004	1.0
67	0.1342685370741483	1.0	1.0	0.0	2.5000000000000004	1.0
68	0.13627254509018036	1.0	1.0	0.0	2.5000000000000004	1.0
69	0.13827655310621242	1.0	1.0	0.0	2.5000000000000004	1.0
70	0.1402805611222445	1.0	1.0	0.0	2.5000000000000004	1.0
71	0.14228456913827653	1.0	1.0	0.0	2.5000000000000004	1.0
72	0.1442885771543086	1.0	1.0	0.0	2.5000000000000004	1.0
73	0.14629258517034066	1.0	1.0	0.0	2.5000000000000004	1.0
74	0.14829659318637273	1.0	1.0	0.0	2.5000000000000004	1.0
75	0.1503006012024048	1.0	1.0	0.0	2.5000000000000004	1.0
76	0.15230460921843686	1.0	1.0	0.0	2.5000000000000004	1.0
77	0.15430861723446893	1.0	1.0	0.0	2.5000000000000004	1.0
78	0.156312625250501	1.0	1.0	0.0	2.5000000000000004	1.0
79	0.15831663326653306	1.0	1.0	0.0	2.5000000000000004	1.0
