density	velocity	pressure	total_energy	thermal_energy	kinetic_energy	mach	position	e
5.495216691449284e-07	0.11904761326422317	3.6065885192823153	9.016471302099792	9.01647129820579	3.894002379200871e-09	0.00034778735981368146	0.016666666666666666	16407853.965496352
7.013441156970259e-07	0.12499998470133564	3.606588520097585	9.016471305723213	9.016471300243964	5.479249562679568e-09	0.000365176700851112	0.017499999999999998	12855987.664889732
8.850105090169969e-07	0.13095238541125193	3.606588521182245	9.016471310543928	9.016471302955614	7.588313412949094e-09	0.0003825661274065204	0.018333333333333333	10187982.189014263
1.1052847403991562e-06	0.13690476470410845	3.6065885226067205	9.016471316874933	9.016471306516804	1.0358128748266823e-08	0.0003999554913938313	0.019166666666666665	8157600.459824175
1.3673858918849042e-06	0.1428571386776679	3.606588524455469	9.016471325091592	9.016471311138675	1.3952916447709529e-08	0.0004173448398412734	0.02	6593947.885998525
1.6770071207653245e-06	0.14880951789026303	3.6065885268289652	9.016471335640468	9.016471317072416	1.85680514295375e-08	0.0004347342035941076	0.020833333333333332	5376525.362013744
2.0403359416769454e-06	0.15476190408008975	3.606588529845892	9.016471349049027	9.016471324614733	2.443429500461821e-08	0.0004521235877303235	0.021666666666666667	4419111.157353883
2.4640740586962386e-06	0.16071428468493054	3.6065885336454815	9.016471365936091	9.016471334113707	3.182238459784705e-08	0.0004695129555504836	0.0225	3659172.2161485646
2.955460521746295e-06	0.16666667097502338	3.606588538390114	9.016471387023351	9.016471345975287	4.1048064924228266e-08	0.0004869023399796184	0.023333333333333334	3050783.8895603707
3.522288542957035e-06	0.17261904689945728	3.6065885442680607	9.016471413147562	9.016471360670154	5.247740646133924e-08	0.0005042916941263724	0.024166666666666666	2559833.2591743423
4.1729312612579394e-06	0.1785714291925472	3.6065885514965017	9.016471445273961	9.016471378741256	6.653270552115841e-08	0.0005216810668786071	0.025	2160704.505835358
4.916357007817412e-06	0.18452380896050696	3.606588560324681	9.016471484510314	9.016471400811705	8.369860855418259e-08	0.0005390704322538912	0.025833333333333333	1833974.0963633785
5.762153781403084e-06	0.19047619076912203	3.606588571037387	9.016471532122337	9.01647142759347	1.0452886710433032e-07	0.0005564598035907743	0.02666666666666667	1564774.5217584174
6.72054756804062e-06	0.19642857236007735	3.6065885839585827	9.016471589549882	9.01647145989646	1.2965342210547167e-07	0.000573849174291783	0.0275	1341627.504100118
7.802424148013333e-06	0.202380954284367	3.6065885994553577	9.016471658424438	9.016471498638396	1.5978604175106424e-07	0.0005912385459665995	0.028333333333333332	1155598.7379812188
9.01934889879777e-06	0.20833333484757957	3.606588617942059	9.016471740587551	9.01647154485515	1.9573240082269781e-07	0.0006086279136651463	0.029166666666666667	999680.979860641
1.0383588552643342e-05	0.21428571600772137	3.606588639884737	9.016471838110567	9.016471599711846	2.3839872060143257e-07	0.0006260172831075705	0.03	868338.682142459
1.1908130450299385e-05	0.22023809661266472	3.6065886658058366	9.01647195331545	9.016471664514594	2.8880085724832955e-07	0.0006434066509280301	0.030833333333333334	757169.3728202234
1.3606704631150553e-05	0.2261904787556947	3.6065886962891702	9.016472088796942	9.016471740722928	3.480740138364132e-07	0.0006607960232418776	0.03166666666666667	662649.1854670701
1.5493802556021334e-05	0.2321428606117593	3.6065887319851613	9.0164722474458	9.016471829962905	4.174828938492487e-07	0.0006781853947173803	0.0325	581940.5402490329
1.7584699205022633e-05	0.2380952422141222	3.606588773616401	9.01647243247354	9.016471934041006	4.984325343942482e-07	0.0006955747654517155	0.03333333333333333	512745.3036822871
1.9895473225768e-05	0.24404762357366985	3.606588821983488	9.01647264743838	9.016472054958722	5.924796579686827e-07	0.0007129641354766867	0.034166666666666665	453192.1383644629
